,1,2,3,4,5,6,7,8,9
1,(0.019691287163689668+0j),(0.005952299659321418+0j),(0.00417104428926055+0j),(0.016369230882228105+0j),(0.043680470078512994+0j),(0.0085266885448166+0j),(0.006802408170635411+0j),(0.005050591942203196+0j),(0.010722378029975705+0j)
2,(0.03052444824268565+0j),(0.00643428101356008+0j),(0.03087003102202429+0j),(0.02605203556669887+0j),(0.03273942478038074+0j),(0.008085015824495044+0j),(0.02475406571444031+0j),(-0.024740780691599972+0j),(-0.018757276821583704+0j)
3,(0.010785925526030199+0j),(0.012975896592619775+0j),(-0.005468727763205623+0j),(0.0031514871994032857+0j),(0.02265330552641079+0j),(-0.0019088306250279936+0j),(0.003580749053542533+0j),(0.002860089667021895+0j),(-0.013639232477611172+0j)
4,(0.03616768442846459+0j),(0.04307311486761244+0j),(-0.014199076668395242+0j),(0.01646162964424678+0j),(0.0698658114520728+0j),(-0.006768809379034342+0j),(0.03642207090740768+0j),(-0.010936760794639571+0j),(-0.054424390011013346+0j)
5,(0.026730846909660128+0j),(0.0013850052402628297+0j),(-0.031155801272961248+0j),(0.02144620034995181+0j),(0.021062010470446063+0j),(0.00510773038650829+0j),(0.08122325718434364+0j),(-0.024158363107367437+0j),(-0.024818495687705822+0j)
6,(0.008572156524396909+0j),(0.006604755943412309+0j),(-0.008037749493071237+0j),(-0.006254774235301521+0j),(0.0017446604341604978+0j),(-0.0008024514044630215+0j),(0.0035230321026121394+0j),(-0.02433114523724088+0j),(-0.02352018260687242+0j)
7,(-0.03663606602203678+0j),(-0.02520523262983622+0j),(0.008713302354366303+0j),(-0.016081517171735348+0j),(-0.08898165206255909+0j),(0.008860554677626663+0j),(-0.027405577676995998+0j),(0.13462372999820324+0j),(0.012057876195915793+0j)
8,(0.02067060571412035+0j),(0.0245516670530263+0j),(0.0029761667064454843+0j),(-0.0014606114714217878+0j),(0.035142443216406444+0j),(0.011014025021832883+0j),(0.03155509834401984+0j),(-0.020641067330061935+0j),(-0.006775507649128588+0j)
9,(-0.01914006844381702+0j),(-0.025993587713019045+0j),(-0.0105981835349431+0j),(-0.013462067612315514+0j),(-0.03616175275048144+0j),(0.017101542792158263+0j),(-0.04846139304702447+0j),(0.07528828254908715+0j),(-0.006102737325384452+0j)
10,(0.006018267523739289+0j),(0.003813055547856588+0j),(0.033612104973342+0j),(-0.0009301958865279857+0j),(0.005522798383435054+0j),(0.004459008187022941+0j),(0.002251526127266387+0j),(0.02503697397434392+0j),(-0.004990041982955842+0j)
11,(0.03857203864594847+0j),(0.05626502633276227+0j),(0.024326983410971916+0j),(0.04491002533298433+0j),(0.06528650917577086+0j),(-0.006097958183542571+0j),(0.08864911551039198+0j),(-0.12309222015818565+0j),(0.05436548606064314+0j)
12,(0.003293564723359772+0j),(-0.001418526015919224+0j),(-0.00275249104127534+0j),(0.0004228750209589668+0j),(0.00017658035912364512+0j),(0.0022949853901636213+0j),(0.006186503214031933+0j),(0.00844402525916973+0j),(0.01053166600615155+0j)
